下列哪種營養素是人體主要的能量來源？,蛋白質,脂質,醣類,維生素,C
「我的餐盤」建議每餐蔬菜量應有多少？,一個手掌大,比水果多一點,一小口,不用吃,B
下列哪種脂肪對心血管健康最有益？,反式脂肪,飽和脂肪,單元不飽和脂肪,豬油,C
預防高血壓的「DASH飲食」強調攝取哪種礦物質？,鈉,鉀,鉛,汞,B
哪種維生素可透過適度的陽光照射產生？,維生素A,維生素C,維生素D,維生素K,C
全穀雜糧類與精製白米相比哪種營養含量較高？,蛋白質,維生素B群與纖維,脂肪,糖分,B
下列何者是優質的植物性蛋白質來源？,白蘿蔔,黃豆,高麗菜,蘋果,B
長期攝取過量的「鈉」容易導致哪種問題？,感冒,高血壓,近視,聽力下降,B
預防貧血應多補充哪種微量元素？,鈣,鐵,鋅,碘,B
下列哪種食物含鈣量最高？,豆漿,牛奶,汽水,紅茶,B
膳食纖維的主要生理功能為何？,提供能量,促進腸道蠕動,增加肌肉,美白,B
減少加工肉品的攝取可降低哪種癌症風險？,大腸癌,肺癌,皮膚癌,骨癌,A
下列何種飲食習慣有助於維持血糖穩定？,不吃早餐,多吃高溫油炸物,攝取高纖食物,喝含糖飲料,C
每天建議攝取多少份水果？,不限數量,2至4份,10份,不用吃,B
橄欖油主要富含哪種脂肪酸？,飽和脂肪酸,單元不飽和脂肪酸,反式脂肪,Omega-6脂肪酸,B
何種食物含有較豐富的Omega-3脂肪酸？,豬肝,深海魚類,雞肉,奶油,B
脫脂牛奶與全脂牛奶的主要差別在於？,蛋白質含量,脂肪含量,鈣質含量,乳糖含量,B
下列哪種物質是造成蛀牙的主要原因？,蛋白質,精緻糖類,維生素,礦物質,B
運動後黃金補給時間建議為多久內？,10小時,1小時內,隔天,不一定,B
何種營養素能協助傷口癒合？,維生素C與蛋白質,純酒精,咖啡因,尼古丁,A
水分佔人體體重約多少百分比？,10%,30%,60-70%,95%,C
哪些食物屬於「隱形脂肪」高的來源？,花椰菜,糕點餅乾,白飯,地瓜,B
下列何種加工方式最容易產生致癌物？,清蒸,水煮,高溫油炸或炭烤,低溫慢烤,C
正常成人的BMI（身體質量指數）理想範圍是？,10-15,18.5-24,30-35,40以上,B
一克蛋白質能提供多少大卡的熱量？,2,4,7,9,B
下列何種飲品最適合運動中補充水分？,純水或電解質水,濃縮果汁,烈酒,熱咖啡,A
哪種飲食模式被公認為對心血管最健康？,生酮飲食,地中海飲食,全肉飲食,斷食飲食,B
世界衛生組織建議成人每週應運動多少分鐘？,10,50,150,500,C
「333運動法」建議心跳數需達到多少？,60,100,130,200,C
下列何種運動屬於「有氧運動」？,舉重,百米衝刺,慢跑,短暫閉氣,C
運動前的暖身運動主要目的是？,變強壯,預防運動傷害,消耗熱量,變美,B
運動後的拉伸緩和運動可幫助什麼？,肌肉生長更快,減緩肌肉痠痛,立刻瘦身,增加食慾,B
重量訓練的主要益處是？,增加肺活量,增加肌肉量與骨密度,改善視力,治療感冒,B
下列何者是判斷運動強度最客觀的指標？,出汗量,心跳速率,疲勞感,運動時間,B
想要透過運動減脂的關鍵在於？,只做仰臥起坐,熱量消耗大於攝取,不喝水,運動後睡覺,B
哪種運動最適合增加關節柔軟度？,長跑,瑜珈,重摔,拳擊,B
老年人進行平衡訓練的主要目的是？,參加奧運,預防跌倒,練習跑步,美化身形,B
運動時感到劇烈疼痛應如何處理？,忍痛繼續,立即停止並檢查,喝能量飲料,加強強度,B
什麼是「基礎代謝率」？,跑步的速度,維持生命最低所需熱量,睡眠的心跳,消化能量,B
肌力訓練建議每週至少進行幾天？,0天,2天以上,7天,10天,B
運動可以分泌哪種荷爾蒙讓人愉悅？,腎上腺素,多巴胺與腦內啡,褪黑激素,甲狀腺素,B
健走與散步最大的區別在於？,鞋子種類,路徑長短,速度與步伐強度,參與人數,C
長期缺乏運動會增加哪種疾病風險？,傳染病,慢性病(如糖尿病),感冒,意外傷害,B
下列哪項不是中暑的症狀？,體溫升高,大量出汗或無汗,意識模糊,視力變好,D
心理健康中「壓力管理」最好的方式是？,暴飲暴食,規律運動與諮商,封閉自我,過度工作,B
維持良好睡眠品質的建議做法？,睡前滑手機,固定作息時間,睡前喝濃茶,開強光睡覺,B
成人每天建議睡眠時間為幾小時？,3小時,7-9小時,15小時,不睡覺,B
預防傳染病最簡單有效的方法是？,不呼吸,勤洗手,不喝水,曬太陽,B
二手菸對人體的危害與一手菸相比？,完全無害,危害同樣嚴重,比較健康,只有香味,B
洗手時應持續搓揉至少幾秒？,1秒,5秒,20秒,60秒,C
